Model Name,Manufacturer,Registered In,Model Date,Fuel Type,Transmission,Color,Body Type,Engine Displacement,Driven,Price,page_link
Audi e-tron 50 quattro 230 kW 2021,Audi,punjab,2021,Electric,Automatic,Mythos Black Metallic,SUV,,"27,900 km",19700000,https://www.pakwheels.com/used-cars/audi-e-tron-2021-for-sale-in-lahore-7303974
Suzuki Bolan VX 2012,Suzuki,punjab,2012,Petrol,Manual,White,Mini Van,800 cc,"80,000 km",875000,https://www.pakwheels.com/used-cars/suzuki-bolan-2012-for-sale-in-lahore-10145364
MG HS 1.5 Turbo 2021,MG,punjab,2021,Petrol,Automatic,Arctic White,Crossover,1490 cc,"32,000 km",6500000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-lahore-10156620
Honda City Aspire 1.5 i-VTEC 2016,Honda,punjab,2016,Petrol,Manual,Taffeta White,Sedan,1500 cc,"171,000 km",3500000,https://www.pakwheels.com/used-cars/honda-city-2016-for-sale-in-faisalabad-10156609
Toyota Land Cruiser ZX 2015,Toyota,punjab,2015,Petrol,Automatic,Attitude Black Mica,SUV,4600 cc,"76,000 km",25500000,https://www.pakwheels.com/used-cars/toyota-land-cruiser-2015-for-sale-in-lahore-10113921
Daihatsu Terios Kid Custom X 2002,Daihatsu,punjab,2002,Petrol,Automatic,Red,SUV,660 cc,"128,000 km",1850000,https://www.pakwheels.com/used-cars/daihatsu-terios-kid-2002-for-sale-in-rawalpindi-9854399
Toyota Raize G 2020,Toyota,punjab,2020,Petrol,Automatic,Silver,Crossover,1000 cc,"18,900 km",5550000,https://www.pakwheels.com/used-cars/toyota-raize-2020-for-sale-in-lahore-10121058
Honda N Box Slash G L Package 2021,Honda,punjab,2021,Petrol,Automatic,Silver,Hatchback,660 cc,"75,000 km",3350000,https://www.pakwheels.com/used-cars/honda-n-box-2021-for-sale-in-lahore-10156526
Toyota Land Cruiser AX 2019,Toyota,punjab,2019,Petrol,Automatic,Attitude Black Mica,SUV,4600 cc,"26,000 km",76500000,https://www.pakwheels.com/used-cars/toyota-land-cruiser-2019-for-sale-in-lahore-10156512
Mazda RX8 Type S 2003,Mazda,punjab,2003,Petrol,Manual,Red,Coupe,1300 cc,"42,000 km",2495000,https://www.pakwheels.com/used-cars/mazda-rx8-2003-for-sale-in-lahore-10051844
Honda N One Premium Tourer 2021,Honda,punjab,2021,Petrol,Automatic,Beige,Hatchback,658 cc,"48,000 km",3950000,https://www.pakwheels.com/used-cars/honda-n-one-2021-for-sale-in-lahore-10039445
Honda Civic Oriel 1.8 i-VTEC CVT 2019,Honda,punjab,2019,Petrol,Automatic,Lunar Silver Metallic,Sedan,1800 cc,"85,000 km",5800000,https://www.pakwheels.com/used-cars/honda-civic-2019-for-sale-in-lahore-10149078
Daihatsu Mira L SA III 2024,Daihatsu,punjab,2024,Petrol,Automatic,Light Blue,Hatchback,660 cc,"20,000 km",3490000,https://www.pakwheels.com/used-cars/daihatsu-mira-2024-for-sale-in-multan-10156680
Suzuki Alto VX 2024,Suzuki,punjab,2024,Petrol,Manual,Silver,Hatchback,660 cc,"4,500 km",2825000,https://www.pakwheels.com/used-cars/suzuki-alto-2024-for-sale-in-lahore-10128457
Suzuki Cultus VXR 2006,Suzuki,punjab,2006,Petrol,Manual,Blue,Hatchback,1000 cc,"100,000 km",1100000,https://www.pakwheels.com/used-cars/suzuki-cultus-2006-for-sale-in-rawalpindi-10156668
Honda City Aspire Prosmatec 1.5 i-VTEC 2015,Honda,punjab,2015,Petrol,Automatic,Taffeta White,Sedan,1500 cc,"191,000 km",2750000,https://www.pakwheels.com/used-cars/honda-city-2015-for-sale-in-lahore-10156667
Honda Civic 1997,Honda,punjab,1997,Petrol,Automatic,Gold,N/A,1400 cc,"150,000 km",1100000,https://www.pakwheels.com/used-cars/honda-civic-1997-for-sale-in-lahore-10156665
Suzuki Bolan VX Euro II 2015,Suzuki,punjab,2015,Petrol,Manual,Solid White,Van,800 cc,"100,000 km",1400000,https://www.pakwheels.com/used-cars/suzuki-bolan-2015-for-sale-in-kahuta-10156666
Honda Vezel Hybrid Z Honda Sensing  2016,Honda,punjab,2016,Hybrid,Automatic,White Pearl,Crossover,1500 cc,"78,000 km",6650000,https://www.pakwheels.com/used-cars/honda-vezel-2016-for-sale-in-bahawalnagar-10156663
Honda Accord CL9 2003,Honda,punjab,2003,Petrol,Automatic,Platinum White Pearl,Sedan,2400 cc,"160,000 km",3800000,https://www.pakwheels.com/used-cars/honda-accord-2003-for-sale-in-gujrat-10156661
KIA Sportage FWD 2021,KIA,punjab,2021,Petrol,Automatic,White,Crossover,2000 cc,"22,500 km",7500000,https://www.pakwheels.com/used-cars/kia-sportage-2021-for-sale-in-lahore-10156654
